iter	Logloss
0	0.6542853355
1	0.6422838974
2	0.6385612106
3	0.6371202087
4	0.6365233898
5	0.6361022186
6	0.6357083988
7	0.6355054474
8	0.6353112793
9	0.6351387215
10	0.6349470615
11	0.6348903179
12	0.6348171902
13	0.6345272255
14	0.6344597244
15	0.6343251228
16	0.6342063522
17	0.6340998745
18	0.6338003826
19	0.6336172771
20	0.6334757423
21	0.6333543968
22	0.6333228874
23	0.6331149769
24	0.632963171
25	0.6327961922
26	0.632586565
27	0.6323343372
28	0.6321234035
29	0.6319379044
30	0.6317733192
31	0.6315456009
32	0.6314074135
33	0.6312957478
34	0.6311259079
35	0.6309445763
36	0.6307457447
37	0.6305250835
38	0.6303888226
39	0.6303086758
40	0.6301095867
41	0.6298153973
42	0.6296478176
43	0.6294937801
44	0.6293522739
45	0.6291307068
46	0.6290031052
47	0.6288634014
48	0.6286927032
49	0.6285370064
50	0.6284405994
51	0.6283526802
52	0.6281973362
53	0.6280055523
54	0.6277760601
55	0.6275881481
56	0.6274476528
57	0.6272583294
58	0.6271806145
59	0.6269875145
60	0.6268346977
61	0.626655159
62	0.6264214134
63	0.6262949944
64	0.6261956692
65	0.6260915184
66	0.6258628559
67	0.6258247757
68	0.6256656647
69	0.6255639458
70	0.6254489422
71	0.6253665161
72	0.6252222729
73	0.6251655674
74	0.625068903
75	0.6249297428
76	0.6247703171
77	0.6245550251
78	0.6244683266
79	0.6243033028
80	0.6242284489
81	0.6241484451
82	0.6240505219
83	0.6238551044
84	0.6238031673
85	0.6236350822
86	0.6235268879
87	0.6234459114
88	0.6233322334
89	0.6231931114
90	0.6231100368
91	0.6229293633
92	0.6228460407
93	0.6227468109
94	0.6226484871
95	0.6225545597
96	0.6224080658
97	0.6222177315
98	0.6221052265
99	0.6219556808
