iter	Passed	Remaining
0	5	496
1	9	448
2	11	381
3	16	396
4	21	407
5	25	407
6	30	405
7	35	403
8	39	401
9	43	395
10	48	393
11	53	390
12	57	386
13	62	383
14	67	379
15	71	375
16	75	369
17	80	366
18	85	362
19	90	360
20	95	359
21	100	354
22	102	344
23	106	337
24	109	329
25	113	324
26	117	317
27	121	311
28	125	306
29	129	301
30	132	295
31	136	290
32	140	285
33	144	279
34	147	274
35	151	269
36	155	265
37	160	261
38	163	256
39	167	251
40	171	246
41	175	241
42	179	237
43	183	233
44	186	228
45	190	223
46	194	219
47	198	214
48	204	212
49	209	209
50	213	205
51	218	201
52	222	197
53	226	192
54	230	188
55	234	184
56	238	179
57	242	175
58	245	170
59	249	166
60	253	161
61	257	157
62	261	153
63	265	149
64	268	144
65	272	140
66	276	136
67	280	131
68	284	127
69	288	123
70	292	119
71	296	115
72	301	111
73	306	107
74	310	103
75	317	100
76	327	97
77	336	94
78	345	91
79	349	87
80	355	83
81	363	79
82	372	76
83	377	71
84	381	67
85	386	62
86	391	58
87	395	53
88	399	49
89	406	45
90	412	40
91	416	36
92	420	31
93	423	27
94	427	22
95	431	17
96	435	13
97	439	8
98	443	4
99	447	0
